Month,Start Date,End Date,Duration,Time,Event,Location,,Event Type,Tier,Target Garage,Partner / Agreement,Recurring,Event Website,MG Landing Page,Marketing Start Date,Expected Attendance,SEM Needs,Contact,Partner Rates,Total Comp Validations,12 Hr Drive-Up,24 Hr Drive-Up,MG/Parking.Com Rate,Spothero Rate,Parkwhiz Rate,Notes
July,"Fri, Jul 26","Fri, Jul 26", 1 ,7:30 PM,Devil’s Ball 2024,Auditorium Theatre,Auditorium Theatre,Performance,Tier 3,,,,https://auditoriumtheatre.org/events-details/devils-ball-2024/,,,,,,,,,,,,,
July,"Fri, Jul 26","Fri, Jul 26", 1 ,8:30 PM,An Evening with the Pretenders,Chicago Theatre,-,Performance,Tier 3,,No,,https://www.msg.com/calendar/the-chicago-theatre-july-2024-an-evening-with-pretenders/07006062BDC85675,,,,,,,,,,,,,
July,"Sat, Jul 27","Sat, Jul 27", 1 ,7:30 PM,Scheherazade,Jay Pritzker Pavilion,GPMF,Performance,Tier 3,,,,https://www.grantparkmusicfestival.com/music/2024-season-2/scheherazade,,,,,,,,,,,,,
July,"Sat, Jul 27","Sat, Jul 27", 1 ,8:00 PM,“GOTILO” Aditya Gadhvi Live in Concert,Auditorium Theatre,Auditorium Theatre,Performance,Tier 3,,,,https://auditoriumtheatre.org/events-details/gotilo/,,,,,,,,,,,,,
July,"Sat, Jul 27","Sat, Jul 27", 1 ,10:00 PM,Summer Fireworks,Navy Pier,City of Chicago,Performance,Tier 3,,,,https://navypier.org/summer-fireworks/,,,,,,,,,,,,,
July,"Sat, Jul 27","Sat, Jul 27", 1 ,"11 AM, 5 PM",BFDI & Inanimate Insanity 2024 Tour,Harris Theater,Harris Theater,Performance,Tier 3,,Yes,,https://www.harristheaterchicago.org/performance/bfdi-inanimate-insanity-2024-tour,,,,,,,,,,,,,
July,"Sat, Jul 27","Sat, Jul 27", 1 ,7 AM to 11 AM,"Stan's Donut 10k, 5k & Kids Dash",Soldier Field,Soldier Field,Race,N/A,,,,https://donut5k.com/,,,,,,,,,,,,,
July,"Sat, Jul 27","Sat, Jul 27", 1 ,8 AM - 11:45 AM,Millennium Park Summer Workouts,Millennium Park,DCASE,Community,Tier 3,,,,https://www.chicago.gov/city/en/depts/dca/supp_info/millennium_park4.html,,,,,,,,,,,,,
July,"Sun, Jul 28","Mon, Jul 29", 1 ,7:00 PM,Seth's Broadway Concert Series,Studebaker Theater,Fine Arts Building,Performance,Tier 3,,,,https://www.fineartsbuilding.com/events/seths-broadway-concert-series-1/,,,,,,,,,,,,,
July,"Mon, Jul 29","Mon, Jul 29", 1 ,6:30 PM,"MP Summer Music Series:
GZA (w/ The Phunky Nomads) & Yaya Bey",Jay Pritzker Pavilion,DCASE,Performance,Tier 3,,Yes,Yes,https://www.chicago.gov/city/en/depts/dca/supp_info/millennium_park9.html,,,"Hip-Hop
GZA 1.3M
Phunky Nomads 90
Yaya Bey 2.3M",,,,,,,,,,
July,"Mon, Jul 29","Mon, Jul 29", 1 ,6:30 PM,Water Flicks: Interstellar,Navy Pier,-,Performance,Tier 3,,,,https://navypier.org/water-flicks/,,,,,,,,,,,,,
July,"Tue, Jul 30","Tue, Jul 30", 1 ,6:00 PM,"MP Summer Film Series:
Barbie",Jay Pritzker Pavilion,DCASE,Performance,Tier 3,,,,https://www.chicago.gov/city/en/depts/dca/supp_info/millennium_park7.html,,,,,,,,,,,,,
July,"Tue, Jul 30","Tue, Jul 30", 1 ,8:00 PM,FLOW – 2024 Anime Shibari Tour,Auditorium Theatre,Auditorium Theatre,Performance,Tier 3,,,,https://auditoriumtheatre.org/events-details/flow/,,,,,,,,,,,,,
June,"Wed, Jul 31","Wed, Jul 31", 1 ,9 AM - 5 PM,Field Museum free days,Field Museum,-,Community,Tier 3,,,,https://www.nbcchicago.com/news/local/chicago-free-museum-days-for-summer-2024-shedd-aquarium-chicago-botanic-garden-and-more/3449211/,,,,,,,,,,,,,
July,"Wed, Jul 31","Wed, Jul 31", 1 ,4 PM - 10 PM,Adler free days,Adler Planetarium,-,Community,Tier 3,,,,https://www.adlerplanetarium.org/visit/tickets/special-offers/,,,,,,,,,,,,,
July,"Wed, Jul 31","Wed, Jul 31", 1 ,5 PM - 10 PM,Jazzin' at the Shedd,Shedd Aquarium,-,Community,Tier 3,,,,https://www.sheddaquarium.org/programs-and-events/jazzin-at-the-shedd,,,,,,,,,,,,,
July,"Wed, Jul 31","Wed, Jul 31", 1 ,6:30 PM,Broadway Rocks!,Jay Pritzker Pavilion,GPMF,Performance,Tier 3,,,,https://www.grantparkmusicfestival.com/music/2024-season-2/broadway-rocks,,,,,,,,,,,,,
July,"Wed, Jul 31","Wed, Jul 31", 1 ,7:00 PM,Tedeschi Trucks Band,Huntington Bank Pavilion | Northerly Island,Huntington Bank Pavilion,Performance,Tier 3,,No,,https://www.pavilionnortherlyisland.com/events/tedeschi-trucks-band-31-july-2024/,,,,,,,,,,,,,
July,"Wed, Jul 31","Wed, Jul 31", 1 ,9:00 PM,Summer Fireworks,Navy Pier,City of Chicago,Performance,Tier 3,,,,https://navypier.org/summer-fireworks/,,,,,,,,,,,,,
July,"Wed, Jul 31","Wed, Jul 31", 1 ,3 PM - 9 PM,Summer Block Party,Navy Pier,-,Community,Tier 3,,,,https://navypier.org/events/summer-block-party/2024-06-26/,,,,,,,,,,,,,
July,"Wed, Jul 31","Wed, Jul 31", 1 ,TBA,AC Milan vs. Real Madrid,Soldier Field,Soldier Field,Game,,,,,https://www.soldierfield.com/events/detail/ac-milan-vs-real-madrid,,,,,,,,,,,,,
August,"Thu, Aug 1","Sun, Aug 4", 3 ,Various,Lollapolooza,Grant Park,C3,Festival,Tier 1,No GPS,Yes,Yes,https://www.lollapalooza.com/,https://www.millenniumgarages.com/lollapalooza22/,,"115,000",,,,,,,,,,
August,"Thu, Aug 1","Sun, Aug 4", 3 ,Various,ClickCon Conference,"Palmer House
17 E. Monroe St.",-,Community,Tier 3,GPS,,Yes,https://clickcon.us/,https://millenniumgarages.com/clickcon/,,,,,,,,,,,,
August,"Thu, Aug 1","Thu, Aug 1", 1 ,5 PM - 8 PM,Art Institute free days,Art Institute of Chicago,Art Institute of Chicago,Community,Tier 3,,,,https://www.nbcchicago.com/news/local/chicago-free-museum-days-for-summer-2024-shedd-aquarium-chicago-botanic-garden-and-more/3449211/,,,,,,,,,,,,,
August,"Thu, Aug 1","Thu, Aug 1", 1 ,6:30 PM,Concert at Lake Shore Park,Lakeshore East Park,GPMF,Performance,Tier 3,,,,https://www.grantparkmusicfestival.com/music/2024-season-1/lake-shore-park,,,,,,,,,,,,,
August,"Fri, Aug 2","Fri, Aug 2", 1 ,6:30 PM,Bruckner Symphony No. 4,Harris Theater,GPMF,Performance,Tier 3,,Yes,,https://www.grantparkmusicfestival.com/music/2024-season-2/bruckner-symphony-no-4,,,,,,,,,,,,,
August,"Sat, Aug 3","Sat, Aug 3", 1 ,7:30 PM,Bruckner Symphony No. 4,Harris Theater,Harris Theater,Performance,Tier 3,,Yes,,https://www.grantparkmusicfestival.com/music/2024-season-2/bruckner-symphony-no-4,,,,,,,,,,,,,
August,"Sat, Aug 3","Sat, Aug 3", 1 ,8:00 PM,Comedy Bang Bang,Chicago Theatre,-,Performance,Tier 3,,No,,https://www.msg.com/calendar/the-chicago-theatre-august-2024-comedy-bang-bang/07006084BF5139C0,,,,,,,,,,,,,
August,"Sat, Aug 3","Sat, Aug 3", 1 ,10:00 PM,Summer Fireworks,Navy Pier,City of Chicago,Performance,Tier 3,,,,https://navypier.org/summer-fireworks/,,,,,,,,,,,,,
August,"Sat, Aug 3","Sat, Aug 3", 1 ,8 AM - 11:45 AM,Millennium Park Summer Workouts,Millennium Park,GPMF,Community,Tier 3,,,,https://www.chicago.gov/city/en/depts/dca/supp_info/millennium_park4.html,,,,,,,,,,,,,
August,"Sun, Aug 4","Sun, Aug 4", 1 ,-,Barack Obama Day (observed),-,-,Holiday,Tier 4,,,,,,,,,,,,,,,,,
August,"Mon, Aug 5","Mon, Aug 5", 1 ,6:30 PM,"MP Summer Music Series:
Protoje & Madison McFerrin",Jay Pritzker Pavilion,DCASE,Performance,Tier 3,,Yes,Yes,https://www.chicago.gov/city/en/depts/dca/supp_info/millennium_park9.html,,,"Jamican
Protoje 1.7M
Madison McFerrin 384.9K",,,,,,,,,,
August,"Mon, Aug 5","Mon, Aug 5", 1 ,6:30 PM,Water Flicks: Big Hero 6,Navy Pier,-,Performance,Tier 3,,,,https://navypier.org/water-flicks/,,,,,,,,,,,,,
August,"Tue, Aug 6","Tue, Aug 6", 1 ,6:00 PM,"MP Summer Film Series:
American Fiction",Jay Pritzker Pavilion,DCASE,Performance,Tier 3,,,,https://www.chicago.gov/city/en/depts/dca/supp_info/millennium_park7.html,,,,,,,,,,,,,
August,"Wed, Aug 7","Wed, Aug 7", 1 ,9 AM - 5 PM,Field Museum free days,Field Museum,-,Community,Tier 3,,,,https://www.nbcchicago.com/news/local/chicago-free-museum-days-for-summer-2024-shedd-aquarium-chicago-botanic-garden-and-more/3449211/,,,,,,,,,,,,,
August,"Wed, Aug 7","Wed, Aug 7", 1 ,4 PM - 10 PM,Adler free days,Adler Planetarium,-,Community,Tier 3,,,,https://www.adlerplanetarium.org/visit/tickets/special-offers/,,,,,,,,,,,,,
August,"Wed, Aug 7","Wed, Aug 7", 1 ,5 PM - 10 PM,Jazzin' at the Shedd,Shedd Aquarium,-,Community,Tier 3,,,,https://www.sheddaquarium.org/programs-and-events/jazzin-at-the-shedd,,,,,,,,,,,,,
August,"Wed, Aug 7","Wed, Aug 7", 1 ,6:00 PM,"Bush, Jerry Cantrell & Candlebox",Huntington Bank Pavilion | Northerly Island,Huntington Bank Pavilion,Performance,Tier 3,,No,,https://www.ticketsqueeze.com/tickets/6215160/buy-tickets,,,,,,,,,,,,,
August,"Wed, Aug 7","Wed, Aug 7", 1 ,6:30 PM,Mozart Jupiter Symphony,Jay Pritzker Pavilion,GPMF,Performance,Tier 3,,,,https://www.grantparkmusicfestival.com/music/2024-season-2/appalachian-spring,,,,,,,,,,,,,
August,"Wed, Aug 7","Wed, Aug 7", 1 ,7:00 PM,Stuff You Should Know Podcast,Auditorium Theatre,Auditorium Theatre,Performance,Tier 3,,,,https://auditoriumtheatre.org/events-details/stuff-you-should-know-live/,,,,,,,,,,,,,
August,"Wed, Aug 7","Wed, Aug 7", 1 ,9:00 PM,Summer Fireworks,Navy Pier,City of Chicago,Performance,Tier 3,,,,https://navypier.org/summer-fireworks/,,,,,,,,,,,,,
August,"Thu, Aug 8","Thu, Aug 8", 1 ,5 PM - 8 PM,Art Institute free days,Art Institute of Chicago,Art Institute of Chicago,Community,Tier 3,,,,https://www.nbcchicago.com/news/local/chicago-free-museum-days-for-summer-2024-shedd-aquarium-chicago-botanic-garden-and-more/3449211/,,,,,,,,,,,,,
August,"Thu, Aug 8","Thu, Aug 8", 1 ,6:30 PM,"MP Summer Music Series:
Corinne Bailey Rae & Terrace Martin with James Fauntleroy",Jay Pritzker Pavilion,DCASE,Performance,Tier 3,,Yes,Yes,https://www.chicago.gov/city/en/depts/dca/supp_info/millennium_park9.html,,,"R&B
Corrine Bailey Rae 6M
Terrace Martin 1.5M
James Fauntleroy 860K",,,,,,,,,,
August,"Fri, Aug 9","Fri, Aug 9", 1 ,6:00 PM,Metallica: M72 World Tour,Soldier Field,Soldier Field,Performance,Tier 3,,,,https://www.soldierfield.com/events/detail/metallica-m72-world-tour,,,,,,,,,,,,,
August,"Fri, Aug 9","Fri, Aug 9", 1 ,6:30 PM,Brahms Double Concerto,Jay Pritzker Pavilion,GPMF,Performance,Tier 3,,,,https://www.grantparkmusicfestival.com/music/2024-season-2/brahms-double-concerto,,,,,,,,,,,,,
August,"Fri, Aug 9","Fri, Aug 9", 1 ,8:00 PM,Idina Menzal,Chicago Theatre,-,Performance,Tier 3,,,,https://www.msg.com/calendar/the-chicago-theatre-august-2024-idina-menzel/07006083CAB24D06,,,,,,,,,,,,,
August,"Sat, Aug 10","Sun, Aug 11", 1 ,1 PM - 11 PM,The Great American Lobster Fest,Navy Pier,-,Community,Tier 3,,,,https://navypier.org/events/lobster-fest-2024/,,,,,,,,,,,,,
August,"Sat, Aug 10","Sun, Aug 11", 1 ,10 AM to 2 PM,Chicago Air & Water Show,Lakefront,DCASE,Community,Tier 3,All,,Yes,https://www.chicago.gov/city/en/depts/dca/supp_info/chicago_air_and_watershow.html,N/A,,,,,,,,,,,,
August,"Sat, Aug 10","Sat, Aug 10", 1 ,6:00 PM,Chicago Dance Health Fund Presents: Dance For Life 2024,Auditorium Theatre,Auditorium Theatre,Performance,Tier 3,,,,https://auditoriumtheatre.org/events-details/chicago-dance-health-fund-presents-dance-for-life-2024/,,,,,,,,,,,,,
August,"Sat, Aug 10","Sat, Aug 10", 1 ,6:30 PM,Thirty Seconds to Mars & AFI,Huntington Bank Pavilion | Northerly Island,Huntington Bank Pavilion,Performance,Tier 3,,No,,https://www.ticketsqueeze.com/tickets/6071695/buy-tickets,,,,,,,,,,,,,
August,"Sat, Aug 10","Sat, Aug 10", 1 ,7:30 PM,Brahms Double Concerto,Jay Pritzker Pavilion,GPMF,Performance,Tier 3,,,,https://www.grantparkmusicfestival.com/music/2024-season-2/brahms-double-concerto,,,,,,,,,,,,,
August,"Sat, Aug 10","Sat, Aug 10", 1 ,8:00 PM,Ellen DeGeneres,Chicago Theatre,-,Performance,Tier 3,,,,https://www.msg.com/calendar/the-chicago-theatre-august-2024-ellen-degeneres/070060B5CB0B3F7D,,,,,,,,,,,,,
August,"Sat, Aug 10","Sat, Aug 10", 1 ,10:00 PM,Summer Fireworks,Navy Pier,City of Chicago,Performance,Tier 3,,,,https://navypier.org/summer-fireworks/,,,,,,,,,,,,,
August,"Sat, Aug 10","Sat, Aug 10", 1 ,8 AM - 11:45 AM,Millennium Park Summer Workouts,Millennium Park,DCASE,Community,Tier 3,,,,https://www.chicago.gov/city/en/depts/dca/supp_info/millennium_park4.html,,,,,,,,,,,,,
August,"Sun, Aug 11","Sun, Aug 11", 1 ,6:00 PM,Metallica: M72 World Tour,Soldier Field,Soldier Field,Performance,Tier 3,,,,https://www.soldierfield.com/events/detail/metallica-m72-world-tour,,,,,,,,,,,,,
August,"Sun, Aug 11","Sun, Aug 11", 1 ,7:00 PM,Ellen DeGeneres,Chicago Theatre,-,Performance,Tier 3,,,,https://www.msg.com/undefined/070060B5CB0F3F90,,,,,,,,,,,,,
August,"Mon, Aug 12","Mon, Aug 12", 1 ,6:15 PM,Broadway In Chicago Summer Concert 2024,Jay Pritzker Pavilion,DCASE,Performance,Tier 3,,,,https://www.broadwayinchicago.com/broadway-in-chicago-summer-concert-2024/,,,,,,,,,,,,,
August,"Mon, Aug 12","Mon, Aug 12", 1 ,6:30 PM,Water Flicks: Oppenheimer,Navy Pier,-,Performance,Tier 3,,,,https://navypier.org/water-flicks/,,,,,,,,,,,,,
August,"Tue, Aug 13","Sun, Sep 1", 19 ,Various,Back to the Future: The Musical,Cadillac Palace Theatre,Broadway in Chicago,Performance,Tier 3,,,,https://www.broadwayinchicago.com/shows/back-to-the-future/,,,,,,,,,,,,,
August,"Tue, Aug 13","Tue, Aug 13", 1 ,6:00 PM,"MP Summer Film Series:
Wonka",Jay Pritzker Pavilion,DCASE,Performance,Tier 3,,,,https://www.chicago.gov/city/en/depts/dca/supp_info/millennium_park7.html,,,,,,,,,,,,,
August,"Wed, Aug 14","Wed, Aug 14", 1 ,9 AM - 5 PM,Field Museum free days,Field Museum,-,Community,Tier 3,,,,https://www.nbcchicago.com/news/local/chicago-free-museum-days-for-summer-2024-shedd-aquarium-chicago-botanic-garden-and-more/3449211/,,,,,,,,,,,,,
August,"Wed, Aug 14","Wed, Aug 14", 1 ,4 PM - 10 PM,Adler free days,Adler Planetarium,-,Community,Tier 3,,,,https://www.adlerplanetarium.org/visit/tickets/special-offers/,,,,,,,,,,,,,
August,"Wed, Aug 14","Wed, Aug 14", 1 ,5 PM - 10 PM,Jazzin' at the Shedd,Shedd Aquarium,-,Community,Tier 3,,,,https://www.sheddaquarium.org/programs-and-events/jazzin-at-the-shedd,,,,,,,,,,,,,
August,"Wed, Aug 14","Wed, Aug 14", 1 ,6:30 PM,Fascinating Rhythm: Gershwin and Friends,Jay Pritzker Pavilion,GPMF,Performance,Tier 3,,,,https://www.grantparkmusicfestival.com/music/2024-season-2/fascinating-rhythm-gershwin-and-friends,,,,,,,,,,,,,
August,"Wed, Aug 14","Wed, Aug 14", 1 ,9:00 PM,Summer Fireworks,Navy Pier,City of Chicago,Performance,Tier 3,,,,https://navypier.org/summer-fireworks/,,,,,,,,,,,,,
August,"Thu, Aug 15","Sat, Aug 17", 2 ,8:00 PM,Hamlet by New York Circus Project,Studebaker Theater,Fine Arts Building,Performance,Tier 3,,,,https://www.fineartsbuilding.com/events/hamlet-by-new-york-circus-project/,,,,,,,,,,,,,
August,"Thu, Aug 15","Thu, Aug 15", 1 ,5 PM - 8 PM,Art Institute free days,Art Institute of Chicago,Art Institute of Chicago,Community,Tier 3,,,,https://www.nbcchicago.com/news/local/chicago-free-museum-days-for-summer-2024-shedd-aquarium-chicago-botanic-garden-and-more/3449211/,,,,,,,,,,,,,
August,"Thu, Aug 15","Thu, Aug 15", 1 ,1 PM - 4 PM,the urban+nature sonic pavilion,Millennium Park,DCASE,Performance,Tier 3,,,,https://www.chicago.gov/city/en/depts/dca/supp_info/millennium_park15.html,,,,,,,,,,,,,
August,"Thu, Aug 15","Thu, Aug 15", 1 ,8 PM - 10 PM,Movies In the Park,Lakeshore East Park,-,Community,Tier 3,,,,,,,,,,,,,,,,,
August,"Thu, Aug 15","Thu, Aug 15", 1 ,5 PM - 8 PM,the urban+nature sonic pavilion,Jay Pritzker Pavilion,DCASE,Performance,Tier 3,,,,https://www.chicago.gov/city/en/depts/dca/supp_info/millennium_park15.html,,,,,,,,,,,,,
August,"Fri, Aug 16","Fri, Aug 16", 1 ,6:30 PM,Mahler Symphony No. 8,Jay Pritzker Pavilion,GPMF,Performance,Tier 3,,,,https://www.grantparkmusicfestival.com/music/2024-season-2/mahler-symphony-no-8,,,,,,,,,,,,,
August,"Sat, Aug 17","Sat, Aug 17", 1 ,7:00 PM,Pre-Season: Bears vs Cincinnati Bengals,Soldier Field,Soldier Field,Game,,,,,https://www.soldierfield.com/events/detail/chicago-bears-preseason-game,,,,,,,,,,,,,
August,"Sat, Aug 17","Sat, Aug 17", 1 ,7:30 PM,Mahler Symphony No. 8,Jay Pritzker Pavilion,GPMF,Performance,Tier 3,,,,https://www.grantparkmusicfestival.com/music/2024-season-2/mahler-symphony-no-8,,,,,,,,,,,,,
August,"Sat, Aug 17","Sat, Aug 17", 1 ,10:00 PM,Summer Fireworks,Navy Pier,City of Chicago,Performance,Tier 3,,,,https://navypier.org/summer-fireworks/,,,,,,,,,,,,,
August,"Sat, Aug 17","Sat, Aug 17", 1 ,"3 pm, 8 pm",FINAL FANTASY VII REBIRTH Orchestra World Tour,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,Yes,,https://cso.org/performances/24-25/rentals/final-fantasy-rebirth/,,,,,,,,,,,,,
August,"Sat, Aug 17","Sat, Aug 17", 1 ,6 PM - 9 PM,Noche Caribena,Navy Pier,-,Performance,Tier 3,,,,https://navypier.org/events/noche-caribena-2024/,,,,,,,,,,,,,
August,"Sat, Aug 17","Sat, Aug 17", 1 ,8 AM - 11:45 AM,Millennium Park Summer Workouts,Millennium Park,DCASE,Community,Tier 3,,,,https://www.chicago.gov/city/en/depts/dca/supp_info/millennium_park4.html,,,,,,,,,,,,,
August,"Sun, Aug 18","Sun, Aug 18", 1 ,4:00 PM,Hamlet by New York Circus Project,Studebaker Theater,Fine Arts Building,Performance,Tier 3,,,,https://www.fineartsbuilding.com/events/hamlet-by-new-york-circus-project/,,,,,,,,,,,,,
August,"Mon, Aug 19","Thu, Aug 22", 3 ,Evening,Late Show with Stephen Colbert,Auditorium Theatre,Auditorium Theatre,Performance,Tier 3,,,,https://auditoriumtheatre.org/news/the-late-show-will-broadcast-from-chicagos-auditorium-theater-during-dnc/,,,,,,,,,,,,,
August,"Mon, Aug 19","Thu, Aug 22", 3 ,6:30 PM,Water Flicks: Weird Science,Navy Pier,-,Performance,Tier 3,,,,https://navypier.org/water-flicks/,,,,,,,,,,,,,
August,"Mon, Aug 19","Thu, Aug 22", 3 ,Various,Democratic National Convention,United Center,DNC,Community,Tier 3,,,,,,,,,,,,,,,,,
August,"Tue, Aug 20","Tue, Aug 20", 1 ,6:00 PM,"MP Summer Film Series:
Ferris Bueller's Day Off",Jay Pritzker Pavilion,DCASE,Performance,Tier 3,,,,https://www.chicago.gov/city/en/depts/dca/supp_info/millennium_park7.html,,,,,,,,,,,,,
August,"Wed, Aug 21","Wed, Aug 21", 1 ,9 AM - 5 PM,Field Museum free days,Field Museum,-,Community,Tier 3,,,,https://www.nbcchicago.com/news/local/chicago-free-museum-days-for-summer-2024-shedd-aquarium-chicago-botanic-garden-and-more/3449211/,,,,,,,,,,,,,
August,"Wed, Aug 21","Wed, Aug 21", 1 ,4 PM - 10 PM,Adler free days,Adler Planetarium,-,Community,Tier 3,,,,https://www.adlerplanetarium.org/visit/tickets/special-offers/,,,,,,,,,,,,,
August,"Wed, Aug 21","Wed, Aug 21", 1 ,5 PM - 10 PM,Jazzin' at the Shedd,Shedd Aquarium,-,Community,Tier 3,,,,https://www.sheddaquarium.org/programs-and-events/jazzin-at-the-shedd,,,,,,,,,,,,,
August,"Wed, Aug 21","Wed, Aug 21", 1 ,9:00 PM,Summer Fireworks,Navy Pier,City of Chicago,Performance,Tier 3,,,,https://navypier.org/summer-fireworks/,,,,,,,,,,,,,
August,"Wed, Aug 21","Wed, Aug 21", 1 ,Various,DePaul: Move-In,DePaul,Colleges,Community,Tier 3,,,,https://offices.depaul.edu/housing/resident-resources/fall-move-in/Pages/default.aspx,,,,,,,,,,,,,
August,"Thu, Aug 22","Thu, Aug 22", 1 ,5 PM - 8 PM,Art Institute free days,Art Institute of Chicago,Art Institute of Chicago,Community,Tier 3,,,,https://www.nbcchicago.com/news/local/chicago-free-museum-days-for-summer-2024-shedd-aquarium-chicago-botanic-garden-and-more/3449211/,,,,,,,,,,,,,
August,"Thu, Aug 22","Thu, Aug 22", 1 ,7:30 PM,Wait Wait... Don't Tell Me,Studebaker Theater,Fine Arts Building,Performance,Tier 3,,,,https://www.fineartsbuilding.com/events/wait-wait-dont-tell-me/,,,,,,,,,,,,,
August,"Fri, Aug 23","Sat, Aug 24", 1 ,"7:30 PM, 6 PM",Magic Men Australia,Studebaker Theater,Fine Arts Building,Performance,Tier 3,,,,https://www.fineartsbuilding.com/events/magic-men-australia/,,,,,,,,,,,,,
August,"Fri, Aug 23","Fri, Aug 23", 1 ,6:30 PM,Sandra Delgado’s La Havana Madrid,Jay Pritzker Pavilion,DCASE,Performance,Tier 3,,,,https://www.chicago.gov/city/en/depts/dca/supp_info/millennium_park15.html,,,,,,,,,,,,,
August,"Fri, Aug 23","Fri, Aug 23", 1 ,7:30 PM,Omar Apollo,Huntington Bank Pavilion | Northerly Island,Huntington Bank Pavilion,Performance,Tier 3,,,,https://www.ticketsqueeze.com/tickets/6493634/buy-tickets,,,,,,,,,,,,,
August,"Fri, Aug 23","Fri, Aug 23", 1 ,8 AM - 6 PM,2024 AVP Chicago,Oak Street Beach and Volleyball,-,Community,Tier 3,,,,,,,,,,,,,,,,,
August,"Sat, Aug 24","Sun, Aug 25", 1 ,2 PM - 11 PM,LatiNxt,Navy Pier,-,Performance,Tier 3,,,,https://navypier.org/events/latinxt/2024-08-24/,,,,,,,,,,,,,
August,"Sat, Aug 24","Sun, Aug 25", 1 ,"Fri: 5:30 AM to 11 AM
Sat: 4 AM to 4 PM",Chicago Triathlon,"Grant Park
Monroe Harbor",Super League,Race,Tier 1,MLG,Yes,Yes,https://triathlonmajors.com/chicago-triathlon/,TBD,,"6,000",,,,,,,,,,
August,"Sat, Aug 24","Sat, Aug 24", 1 ,5:45 PM,Chicago Black Dance Legacy Project,Jay Pritzker Pavilion,DCASE,Performance,Tier 3,,,,https://www.chicago.gov/city/en/depts/dca/supp_info/millennium_park15.html,,,,,,,,,,,,,
August,"Sat, Aug 24","Sat, Aug 24", 1 ,6:30 PM,P!NK,Soldier Field,Soldier Field,Performance,Tier 3,,,,https://www.soldierfield.com/events/detail/pnk-summer-carnival-2024,,,,,,,,,,,,,
August,"Sat, Aug 24","Sat, Aug 24", 1 ,8:00 PM,PJ Morton,Chicago Theatre,-,Performance,Tier 3,,,,https://www.msg.com/calendar/the-chicago-theatre-august-2024-pj-morton/07006090CADA2977,,,,,,,,,,,,,
August,"Sat, Aug 24","Sat, Aug 24", 1 ,10:00 PM,Summer Fireworks,Navy Pier,City of Chicago,Performance,Tier 3,,,,https://navypier.org/summer-fireworks/,,,,,,,,,,,,,
August,"Sat, Aug 24","Sat, Aug 24", 1 ,8 AM - 11:45 AM,Millennium Park Summer Workouts,Millennium Park,DCASE,Community,Tier 3,,,,https://www.chicago.gov/city/en/depts/dca/supp_info/millennium_park4.html,,,,,,,,,,,,,
August,"Sun, Aug 25","Sun, Aug 25", 1 ,3:00 PM,Sinatra by Request,Studebaker Theater,Fine Arts Building,Performance,Tier 3,,,,https://www.fineartsbuilding.com/events/sinatra-by-request/,,,,,,,,,,,,,
August,"Sun, Aug 25","Sun, Aug 25", 1 ,7:00 PM,Sunday in the Park with Lyric,Jay Pritzker Pavilion,DCASE,Performance,Tier 3,,,,https://www.lyricopera.org/Millennium,,,,,,,,,,,,,
August,"Sun, Aug 25","Sun, Aug 25", 1 ,Various,DePaul: Move-In,DePaul,Colleges,Community,Tier 3,,,,,,,,,,,,,,,,,
August,"Mon, Aug 26","Fri, Aug 30", 4 ,Various,Roosevelt: Move-In,Roosevelt,Colleges,Community,Tier 3,,,,,,,,,,,,,,,,,
August,"Mon, Aug 26","Fri, Aug 30", 4 ,6:30 PM,Water Flicks: Viewer's Choice,Navy Pier,-,Performance,Tier 3,,,,https://navypier.org/water-flicks/,,,,,,,,,,,,,
August,"Mon, Aug 26","Fri, Aug 30", 4 ,Various,Columbia College: New Student Convocation & Move-In,Columbia,Colleges,Community,Tier 3,,,Yes,https://students.colum.edu/handbook/traditions/convocation,No,,,,,,,,,,,,
August,"Wed, Aug 28","Thu, Aug 29", 1 ,7:45 PM,Glass Animals,Huntington Bank Pavilion | Northerly Island,Huntington Bank Pavilion,Performance,Tier 3,,No,,https://www.pavilionnortherlyisland.com/events/glass-animals-28-august-2024/,,,,,,,,,,,,,
August,"Wed, Aug 28","Wed, Aug 28", 1 ,9 AM - 5 PM,Field Museum free days,Field Museum,-,Community,Tier 3,,,,https://www.nbcchicago.com/news/local/chicago-free-museum-days-for-summer-2024-shedd-aquarium-chicago-botanic-garden-and-more/3449211/,,,,,,,,,,,,,
August,"Wed, Aug 28","Wed, Aug 28", 1 ,4 PM - 10 PM,Adler free days,Adler Planetarium,-,Community,Tier 3,,,,https://www.adlerplanetarium.org/visit/tickets/special-offers/,,,,,,,,,,,,,
August,"Wed, Aug 28","Wed, Aug 28", 1 ,5 PM - 10 PM,Jazzin' at the Shedd,Shedd Aquarium,-,Community,Tier 3,,,,https://www.sheddaquarium.org/programs-and-events/jazzin-at-the-shedd,,,,,,,,,,,,,
August,"Wed, Aug 28","Wed, Aug 28", 1 ,9:00 PM,Summer Fireworks,Navy Pier,City of Chicago,Performance,Tier 3,,,,https://navypier.org/summer-fireworks/,,,,,,,,,,,,,
